Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
75,0.15051087498432025,498.0,849.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
76,0.1523639159859158,498.0,860.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
77,0.1542461250210181,498.0,871.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
78,0.1562864999868907,499.0,883.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
79,0.15814054099610075,499.0,894.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
80,0.16001937497640029,499.0,905.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
81,0.16194595798151568,499.0,916.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
82,0.1638892909977585,499.0,927.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
83,0.16575762501452118,499.0,938.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
84,0.16761433298233896,499.0,949.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
85,0.1696204579784535,500.0,961.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
86,0.17149475001497194,500.0,972.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
87,0.1734331250190735,500.0,983.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
88,0.17534141597570851,500.0,994.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
89,0.1772541250102222,500.0,1005.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
90,0.1791522079729475,500.0,1016.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
91,0.18106133298715577,500.0,1027.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
92,0.18297762499423698,500.0,1038.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
93,0.18488745798822492,500.0,1049.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
94,0.18679816601797938,500.0,1060.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
95,0.1888694579829462,501.0,1072.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
96,0.1907804579823278,501.0,1083.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
97,0.19271912501426414,501.0,1094.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
98,0.19488441600697115,502.0,1106.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
99,0.19681583298370242,502.0,1117.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
100,0.1987576659885235,502.0,1128.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
0,0.0019671249901875854,417.0,10.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
1,0.006097249977756292,453.0,22.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
2,0.008147041022311896,457.0,34.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
3,0.009959708026144654,457.0,45.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
4,0.011811040982138366,457.0,56.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
5,0.013792750018183142,464.0,68.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
6,0.015689915977418423,464.0,79.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
7,0.017766290984582156,468.0,91.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
8,0.01959129102760926,468.0,102.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
9,0.021557540982030332,480.0,114.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
10,0.023394541000016034,480.0,125.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
11,0.025496707996353507,485.0,137.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
12,0.0274691249942407,485.0,148.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
13,0.029368249990511686,485.0,159.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
14,0.03129658300895244,485.0,170.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
15,0.033417749975342304,488.0,182.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
16,0.0352753329789266,488.0,193.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
17,0.03727858298225328,489.0,205.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
18,0.03913529100827873,489.0,216.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
