,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
307,307,5.458986083000013,802.9493764839677,31112.0,True,100,0.9,500
308,308,5.476972000000018,802.9493764839677,31213.0,True,100,0.9,500
309,309,5.494388833000016,802.9493764839677,31314.0,True,100,0.9,500
310,310,5.511958541000013,802.9493764839677,31415.0,True,100,0.9,500
311,311,5.5295266660000095,802.9493764839677,31516.0,True,100,0.9,500
312,312,5.546882333000013,802.9493764839677,31617.0,True,100,0.9,500
313,313,5.564350582999992,802.9493764839677,31718.0,True,100,0.9,500
314,314,5.581746583000012,802.9493764839677,31819.0,True,100,0.9,500
315,315,5.59916208300001,802.9493764839677,31920.0,True,100,0.9,500
316,316,5.616591166000006,802.9493764839677,32021.0,True,100,0.9,500
317,317,5.6342046660000165,802.9493764839677,32122.0,True,100,0.9,500
318,318,5.651527750000014,802.9493764839677,32223.0,True,100,0.9,500
319,319,5.668855250000007,802.9493764839677,32324.0,True,100,0.9,500
320,320,5.6866318750000175,802.9493764839677,32425.0,True,100,0.9,500
321,321,5.704871541000017,802.9493764839677,32526.0,True,100,0.9,500
322,322,5.722413958000004,802.9493764839677,32627.0,True,100,0.9,500
323,323,5.739866124999992,802.9493764839677,32728.0,True,100,0.9,500
324,324,5.7573184580000145,802.9493764839677,32829.0,True,100,0.9,500
325,325,5.774798290999996,802.9493764839677,32930.0,True,100,0.9,500
326,326,5.792692291000009,802.9493764839677,33031.0,True,100,0.9,500
327,327,5.810381333000009,802.9493764839677,33132.0,True,100,0.9,500
328,328,5.827853833000006,802.9493764839677,33233.0,True,100,0.9,500
329,329,5.8452865000000145,802.9493764839677,33334.0,True,100,0.9,500
330,330,5.862752999999998,802.9493764839677,33435.0,True,100,0.9,500
331,331,5.880245833000004,802.9493764839677,33536.0,True,100,0.9,500
332,332,5.8977900410000075,802.9493764839677,33637.0,True,100,0.9,500
333,333,5.915272291000008,802.9493764839677,33738.0,True,100,0.9,500
334,334,5.932820665999998,802.9493764839677,33839.0,True,100,0.9,500
335,335,5.950357125000011,802.9493764839677,33940.0,True,100,0.9,500
336,336,5.967820375000002,802.9493764839677,34041.0,True,100,0.9,500
337,337,5.985115833000009,802.9493764839677,34142.0,True,100,0.9,500
338,338,6.002730750000012,802.9493764839677,34243.0,True,100,0.9,500
339,339,6.0202876660000015,802.9493764839677,34344.0,True,100,0.9,500
340,340,6.037679416000003,802.9493764839677,34445.0,True,100,0.9,500
341,341,6.055145833000012,802.9493764839677,34546.0,True,100,0.9,500
342,342,6.072701749999993,802.9493764839677,34647.0,True,100,0.9,500
343,343,6.09045470800001,802.9493764839677,34748.0,True,100,0.9,500
344,344,6.108053124999998,802.9493764839677,34849.0,True,100,0.9,500
345,345,6.12552229100001,802.9493764839677,34950.0,True,100,0.9,500
346,346,6.142751790999995,802.9493764839677,35051.0,True,100,0.9,500
347,347,6.160257666000007,802.9493764839677,35152.0,True,100,0.9,500
348,348,6.177680833000011,802.9493764839677,35253.0,True,100,0.9,500
349,349,6.195160291000008,802.9493764839677,35354.0,True,100,0.9,500
350,350,6.212787458000008,802.9493764839677,35455.0,True,100,0.9,500
351,351,6.230404249999992,802.9493764839677,35556.0,True,100,0.9,500
352,352,6.247942625000007,802.9493764839677,35657.0,True,100,0.9,500
353,353,6.265383041000007,802.9493764839677,35758.0,True,100,0.9,500
354,354,6.282756916000011,802.9493764839677,35859.0,True,100,0.9,500
355,355,6.300177665999996,802.9493764839677,35960.0,True,100,0.9,500
356,356,6.317744833000006,802.9493764839677,36061.0,True,100,0.9,500
357,357,6.335199791000008,802.9493764839677,36162.0,True,100,0.9,500
358,358,6.352594874999994,802.9493764839677,36263.0,True,100,0.9,500
359,359,6.3701699580000195,802.9493764839677,36364.0,True,100,0.9,500
360,360,6.388500791000013,802.9493764839677,36465.0,True,100,0.9,500
361,361,6.4069807500000024,802.9493764839677,36566.0,True,100,0.9,500
362,362,6.425163083000001,802.9493764839677,36667.0,True,100,0.9,500
363,363,6.442634749999996,802.9493764839677,36768.0,True,100,0.9,500
364,364,6.460068374999992,802.9493764839677,36869.0,True,100,0.9,500
365,365,6.477441833,802.9493764839677,36970.0,True,100,0.9,500
366,366,6.494925082999998,802.9493764839677,37071.0,True,100,0.9,500
367,367,6.512553208000014,802.9493764839677,37172.0,True,100,0.9,500
368,368,6.530030666000016,802.9493764839677,37273.0,True,100,0.9,500
369,369,6.5475038330000075,802.9493764839677,37374.0,True,100,0.9,500
370,370,6.564870083000017,802.9493764839677,37475.0,True,100,0.9,500
371,371,6.582243707999993,802.9493764839677,37576.0,True,100,0.9,500
372,372,6.599628249999995,802.9493764839677,37677.0,True,100,0.9,500
373,373,6.617072707999995,802.9493764839677,37778.0,True,100,0.9,500
374,374,6.634523290999994,802.9493764839677,37879.0,True,100,0.9,500
375,375,6.651797541000008,802.9493764839677,37980.0,True,100,0.9,500
376,376,6.669064041000013,802.9493764839677,38081.0,True,100,0.9,500
377,377,6.686646375000009,802.9493764839677,38182.0,True,100,0.9,500
378,378,6.7042331659999945,802.9493764839677,38283.0,True,100,0.9,500
379,379,6.722004249999998,802.9493764839677,38384.0,True,100,0.9,500
380,380,6.739826416,802.9493764839677,38485.0,True,100,0.9,500
381,381,6.757203625000017,802.9493764839677,38586.0,True,100,0.9,500
382,382,6.77462270800001,802.9493764839677,38687.0,True,100,0.9,500
383,383,6.792038000000019,802.9493764839677,38788.0,True,100,0.9,500
384,384,6.809552291000017,802.9493764839677,38889.0,True,100,0.9,500
385,385,6.827145875000014,802.9493764839677,38990.0,True,100,0.9,500
386,386,6.844864540999993,802.9493764839677,39091.0,True,100,0.9,500
387,387,6.862281791000015,802.9493764839677,39192.0,True,100,0.9,500
388,388,6.8796722080000166,802.9493764839677,39293.0,True,100,0.9,500
389,389,6.897128707999997,802.9493764839677,39394.0,True,100,0.9,500
