Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
1,0.060321250000001214,1024.0,10.0,75,1,6,3,9,1000,10,100,75
1,0.060321250000001214,1041.0,11.0,75,1,7,3,9,1000,10,100,75
1,0.060321250000001214,1079.0,12.0,75,1,8,3,9,1000,10,100,75
1,0.060321250000001214,968.0,13.0,75,1,9,3,9,1000,10,100,75
1,0.060321250000001214,1034.0,15.0,75,1,10,3,9,1000,10,100,75
1,0.060321250000001214,1036.0,16.0,75,1,11,3,9,1000,10,100,75
1,0.060321250000001214,1075.0,17.0,75,1,12,3,9,1000,10,100,75
1,0.060321250000001214,998.0,18.0,75,1,13,3,9,1000,10,100,75
1,0.060321250000001214,1009.0,20.0,75,1,14,3,9,1000,10,100,75
1,0.060321250000001214,1020.0,21.0,75,1,15,3,9,1000,10,100,75
1,0.060321250000001214,1033.0,22.0,75,1,16,3,9,1000,10,100,75
1,0.060321250000001214,1041.0,24.0,75,1,17,3,9,1000,10,100,75
1,0.060321250000001214,1031.0,26.0,75,1,18,3,9,1000,10,100,75
1,0.060321250000001214,1078.0,27.0,75,1,19,3,9,1000,10,100,75
1,0.060321250000001214,1095.0,28.0,75,1,20,3,9,1000,10,100,75
1,0.060321250000001214,1064.0,29.0,75,1,21,3,9,1000,10,100,75
1,0.060321250000001214,1033.0,30.0,75,1,22,3,9,1000,10,100,75
1,0.060321250000001214,1008.0,31.0,75,1,23,3,9,1000,10,100,75
1,0.060321250000001214,1021.0,33.0,75,1,24,3,9,1000,10,100,75
1,0.060321250000001214,1058.0,34.0,75,1,25,3,9,1000,10,100,75
1,0.060321250000001214,1055.0,35.0,75,1,26,3,9,1000,10,100,75
1,0.060321250000001214,1052.0,37.0,75,1,27,3,9,1000,10,100,75
1,0.060321250000001214,952.0,39.0,75,1,28,3,9,1000,10,100,75
1,0.060321250000001214,1056.0,40.0,75,1,29,3,9,1000,10,100,75
1,0.060321250000001214,1046.0,41.0,75,1,30,3,9,1000,10,100,75
1,0.060321250000001214,1092.0,42.0,75,1,31,3,9,1000,10,100,75
1,0.060321250000001214,1072.0,44.0,75,1,32,3,9,1000,10,100,75
1,0.060321250000001214,1076.0,45.0,75,1,33,3,9,1000,10,100,75
1,0.060321250000001214,1035.0,46.0,75,1,34,3,9,1000,10,100,75
1,0.060321250000001214,1077.0,48.0,75,1,35,3,9,1000,10,100,75
1,0.060321250000001214,1007.0,49.0,75,1,36,3,9,1000,10,100,75
1,0.060321250000001214,1040.0,50.0,75,1,37,3,9,1000,10,100,75
1,0.060321250000001214,1064.0,51.0,75,1,38,3,9,1000,10,100,75
1,0.060321250000001214,1003.0,52.0,75,1,39,3,9,1000,10,100,75
